id_venda,curso,valor,idade,cidade,forma_pagamento,avaliacao,status,data_venda
39,Python,715.65,50,Feira de Santana,PIX,2,Concluído,2025-10-17
40,Python,693.37,27,Camaçari,PIX,1,Concluído,2025-09-07
41,Python,308.47,34,Vitória da Conquista,Cartão,1,Em andamento,2025-09-23
42,Excel,916.85,41,Camaçari,PIX,4,Em andamento,2025-01-21
43,Power BI,982.43,38,Salvador,Boleto,5,Concluído,2025-05-21
44,Power BI,851.29,34,Lauro de Freitas,Boleto,5,Concluído,2025-12-01
45,Python,440.57,55,Salvador,Boleto,3,Concluído,2025-04-25
46,Python,564.63,40,Vitória da Conquista,PIX,4,Em andamento,2025-01-04
47,Python,551.55,26,Camaçari,Cartão,2,Concluído,2025-11-26
48,Power BI,352.63,27,Feira de Santana,Cartão,3,Concluído,2025-03-02
49,Python,694.9,44,Vitória da Conquista,Boleto,1,Concluído,2025-09-03
50,Python,531.02,55,Feira de Santana,Boleto,4,Concluído,2025-01-23
51,Python,215.0,55,Feira de Santana,Cartão,5,Concluído,2025-10-21
52,Power BI,232.08,28,Vitória da Conquista,Cartão,5,Cancelado,2025-11-03
53,Python,972.22,58,Salvador,Boleto,3,Cancelado,2025-04-21
54,Python,504.18,48,Camaçari,Cartão,2,Em andamento,2025-11-04
55,Excel,228.34,55,Feira de Santana,Boleto,5,Concluído,2025-12-18
56,Python,408.3,47,Lauro de Freitas,Boleto,1,Concluído,2025-07-17
57,Python,218.89,19,Feira de Santana,Boleto,5,Em andamento,2025-03-18
58,SQL,644.86,29,Camaçari,Boleto,5,Concluído,2025-09-30
59,Excel,552.9,25,Salvador,PIX,2,Cancelado,2025-10-04
60,Python,844.67,61,Camaçari,Boleto,4,Concluído,2025-01-23
61,Python,727.78,45,Feira de Santana,PIX,4,Concluído,2025-12-23
62,Java,618.41,45,Feira de Santana,PIX,4,Em andamento,2025-02-12
63,SQL,354.84,52,Camaçari,PIX,2,Concluído,2025-01-04
64,Excel,620.09,25,Lauro de Freitas,Cartão,4,Em andamento,2025-12-19
65,SQL,823.76,44,Vitória da Conquista,Cartão,2,Concluído,2025-10-27
66,Python,328.17,52,Camaçari,Boleto,3,Concluído,2025-12-15
67,Power BI,457.61,31,Camaçari,Boleto,5,Concluído,2025-07-09
68,SQL,603.08,48,Vitória da Conquista,PIX,5,Concluído,2025-12-28
69,Python,458.22,26,Salvador,Boleto,2,Concluído,2025-12-25
70,Python,954.22,24,Feira de Santana,Boleto,4,Em andamento,2025-10-09
71,Excel,652.52,61,Salvador,Cartão,4,Cancelado,2025-01-03
72,Excel,823.83,27,Camaçari,Boleto,4,Concluído,2025-05-15
73,SQL,299.49,23,Lauro de Freitas,Cartão,4,Cancelado,2025-07-25
74,Python,652.47,51,Vitória da Conquista,Boleto,5,Concluído,2025-03-31
75,Python,676.16,46,Salvador,Cartão,5,Concluído,2025-01-18
76,Power BI,805.46,50,Lauro de Freitas,Boleto,2,Concluído,2025-12-12
77,SQL,132.36,33,Salvador,Cartão,1,Cancelado,2025-07-24
78,SQL,417.71,43,Camaçari,Boleto,2,Concluído,2025-12-27
79,Power BI,161.66,23,Lauro de Freitas,PIX,5,Cancelado,2025-06-28
80,Python,412.63,35,Feira de Santana,Boleto,2,Concluído,2025-07-26
81,Python,617.32,34,Feira de Santana,PIX,5,Concluído,2025-02-07
82,Python,552.75,39,Salvador,Boleto,3,Em andamento,2025-10-22
83,Python,325.03,46,Camaçari,Boleto,4,Em andamento,2025-06-23
84,Java,965.01,47,Camaçari,Boleto,1,Concluído,2025-05-13
85,Excel,160.7,58,Feira de Santana,Boleto,2,Em andamento,2025-07-31
86,Python,959.8,51,Lauro de Freitas,Cartão,3,Concluído,2025-02-17
87,Excel,458.94,65,Vitória da Conquista,Cartão,5,Cancelado,2025-09-01
88,Python,382.39,31,Lauro de Freitas,PIX,2,Cancelado,2025-12-16
89,SQL,937.13,30,Camaçari,Boleto,2,Concluído,2025-05-04
90,Python,885.37,31,Feira de Santana,Cartão,2,Em andamento,2025-07-02
91,Python,240.3,24,Salvador,Cartão,4,Concluído,2025-10-05
92,Python,962.09,48,Vitória da Conquista,Boleto,3,Concluído,2025-10-22
93,Excel,881.79,49,Feira de Santana,Boleto,3,Concluído,2025-10-23
94,Python,215.32,51,Camaçari,PIX,5,Concluído,2025-06-27
95,Python,454.25,61,Feira de Santana,PIX,1,Em andamento,2025-08-24
96,Excel,383.99,18,Salvador,Boleto,2,Concluído,2025-02-21
97,Excel,392.79,57,Vitória da Conquista,Cartão,5,Concluído,2025-05-18
98,Python,524.11,57,Vitória da Conquista,PIX,2,Concluído,2025-04-18
99,Python,477.08,41,Vitória da Conquista,PIX,3,Concluído,2025-10-20
100,Python,217.93,54,Feira de Santana,Cartão,3,Em andamento,2025-10-12
101,Python,488.9,42,Feira de Santana,Cartão,2,Concluído,2025-01-05
102,Power BI,258.85,49,Feira de Santana,Boleto,5,Concluído,2025-06-11
103,Excel,806.7,37,Vitória da Conquista,Boleto,5,Concluído,2025-02-20
104,Power BI,721.39,21,Feira de Santana,PIX,4,Em andamento,2025-02-19
105,Python,504.77,39,Vitória da Conquista,PIX,3,Concluído,2025-05-12
106,Python,409.63,44,Salvador,PIX,5,Concluído,2025-10-22
107,Python,684.78,52,Feira de Santana,PIX,3,Concluído,2025-09-19
108,Power BI,538.64,65,Camaçari,Cartão,4,Concluído,2025-08-26
109,Excel,668.44,27,Feira de Santana,Boleto,3,Concluído,2025-11-10
110,Java,614.37,22,Salvador,Cartão,3,Concluído,2025-06-12
111,SQL,687.61,63,Vitória da Conquista,Boleto,4,Concluído,2025-08-16
112,Python,802.78,41,Lauro de Freitas,Boleto,4,Concluído,2025-04-05
113,Python,868.69,26,Feira de Santana,Boleto,3,Cancelado,2025-12-25
114,Python,774.67,31,Feira de Santana,PIX,1,Concluído,2025-08-31
115,Excel,593.49,19,Camaçari,Boleto,1,Concluído,2025-11-13
116,Python,239.65,59,Camaçari,PIX,2,Concluído,2025-05-26
117,Excel,498.74,26,Feira de Santana,Boleto,2,Concluído,2025-12-06
118,Excel,421.06,38,Camaçari,PIX,5,Cancelado,2025-10-08
119,Python,500.26,62,Lauro de Freitas,Cartão,5,Concluído,2025-11-20
120,Power BI,773.92,54,Camaçari,Boleto,5,Concluído,2025-06-27
121,Power BI,533.39,32,Salvador,PIX,3,Concluído,2025-05-14
122,Excel,240.05,18,Salvador,Boleto,2,Concluído,2025-08-29
123,Python,581.49,62,Camaçari,PIX,3,Concluído,2025-08-09
124,Python,818.07,56,Feira de Santana,Cartão,5,Concluído,2025-07-30
125,Python,893.85,45,Camaçari,Cartão,2,Em andamento,2025-11-27
126,Power BI,450.65,42,Feira de Santana,PIX,1,Concluído,2025-05-03
127,Python,564.85,57,Vitória da Conquista,PIX,5,Em andamento,2025-07-31
128,Python,269.1,22,Feira de Santana,Cartão,3,Concluído,2025-08-22
129,Python,655.86,35,Lauro de Freitas,PIX,2,Concluído,2025-03-19
130,SQL,144.57,52,Salvador,Cartão,1,Concluído,2025-03-06
131,Python,743.58,64,Salvador,Cartão,1,Concluído,2025-09-10
132,Python,295.37,44,Vitória da Conquista,PIX,3,Concluído,2025-01-17
133,Python,397.12,27,Salvador,PIX,4,Concluído,2025-08-29
134,Excel,263.34,34,Camaçari,Cartão,1,Cancelado,2026-01-01
135,Python,323.97,46,Feira de Santana,Boleto,1,Concluído,2025-02-18
136,Python,568.93,31,Camaçari,PIX,3,Cancelado,2025-03-23
137,Python,666.15,20,Lauro de Freitas,Boleto,1,Concluído,2025-11-23
138,C#,368.83,41,Salvador,Boleto,2,Cancelado,2025-05-01
139,Python,669.52,38,Salvador,Cartão,3,Concluído,2025-07-22
140,Excel,810.13,18,Salvador,Boleto,4,Em andamento,2025-03-21
141,Python,434.16,23,Feira de Santana,Cartão,4,Concluído,2025-11-13
142,Excel,404.48,58,Salvador,Cartão,3,Concluído,2025-12-26
143,Excel,582.62,24,Feira de Santana,PIX,2,Concluído,2025-10-13
144,Python,809.61,40,Camaçari,Boleto,2,Concluído,2025-07-13
145,Java,422.25,26,Vitória da Conquista,Cartão,4,Em andamento,2025-10-14
146,Python,365.14,62,Camaçari,Cartão,5,Concluído,2025-06-28
147,Python,391.21,47,Vitória da Conquista,Boleto,5,Concluído,2025-09-29
148,Power BI,239.42,36,Vitória da Conquista,Boleto,3,Concluído,2025-11-23
149,Python,555.26,64,Feira de Santana,Cartão,5,Em andamento,2025-11-14
150,Python,314.81,64,Salvador,Boleto,5,Em andamento,2025-04-08
151,Python,571.56,49,Lauro de Freitas,Cartão,5,Concluído,2025-07-29
152,Python,676.71,25,Salvador,Boleto,1,Concluído,2025-03-08
153,Excel,260.67,20,Feira de Santana,Cartão,4,Concluído,2025-01-17
154,Python,613.81,42,Camaçari,Boleto,5,Em andamento,2025-05-12
155,Python,144.08,32,Lauro de Freitas,Boleto,1,Concluído,2025-04-17
156,Python,690.07,23,Camaçari,Boleto,1,Concluído,2025-08-01
157,Python,839.72,63,Salvador,Boleto,3,Concluído,2025-02-06
158,Python,850.91,22,Feira de Santana,Boleto,1,Concluído,2025-04-29
159,Python,578.39,30,Feira de Santana,Boleto,2,Concluído,2025-04-02
160,Excel,602.48,53,Camaçari,Boleto,1,Em andamento,2025-10-23
161,Python,422.07,47,Camaçari,Cartão,2,Em andamento,2025-10-09
162,Python,461.3,39,Feira de Santana,Boleto,5,Concluído,2025-06-30
163,Excel,912.14,53,Vitória da Conquista,PIX,4,Em andamento,2025-08-09
164,Python,843.44,38,Lauro de Freitas,Cartão,5,Concluído,2025-07-12
165,Excel,789.04,65,Vitória da Conquista,PIX,4,Concluído,2025-07-23
166,Python,100.08,20,Vitória da Conquista,Boleto,1,Concluído,2025-06-04
167,Python,105.81,32,Feira de Santana,PIX,1,Em andamento,2025-12-20
168,Python,840.0,53,Lauro de Freitas,Boleto,5,Cancelado,2025-03-21
169,Excel,184.76,47,Vitória da Conquista,Cartão,2,Concluído,2025-10-26
170,Python,324.77,34,Vitória da Conquista,Cartão,5,Concluído,2025-04-22
171,Excel,760.74,64,Vitória da Conquista,PIX,2,Concluído,2025-12-20
172,Power BI,732.46,24,Lauro de Freitas,Boleto,3,Concluído,2025-10-23
173,Python,443.29,21,Vitória da Conquista,PIX,4,Concluído,2025-03-03
174,Excel,882.71,32,Lauro de Freitas,Cartão,4,Concluído,2025-09-26
175,Excel,136.96,52,Lauro de Freitas,Cartão,3,Concluído,2025-04-24
176,Python,237.78,61,Camaçari,PIX,5,Concluído,2025-02-16
177,SQL,299.78,36,Camaçari,Cartão,2,Concluído,2025-09-01
178,Excel,614.2,21,Lauro de Freitas,PIX,3,Concluído,2025-09-14
179,Python,490.94,62,Feira de Santana,Cartão,4,Concluído,2025-09-07
180,Power BI,455.69,54,Feira de Santana,Boleto,5,Cancelado,2025-09-26
181,Excel,321.52,22,Vitória da Conquista,PIX,3,Em andamento,2025-10-22
182,Python,180.54,60,Camaçari,PIX,3,Concluído,2025-06-14
183,Python,409.97,59,Salvador,PIX,2,Cancelado,2025-11-12
184,Excel,839.33,46,Lauro de Freitas,Cartão,4,Concluído,2025-04-30
185,Power BI,279.62,41,Feira de Santana,Boleto,1,Concluído,2025-01-28
186,Power BI,318.64,57,Feira de Santana,PIX,1,Concluído,2025-02-26
187,Python,374.51,48,Salvador,PIX,2,Em andamento,2025-04-19
188,Power BI,283.32,51,Vitória da Conquista,Boleto,4,Concluído,2025-03-14
189,Excel,725.46,60,Salvador,PIX,5,Cancelado,2025-09-27
190,Python,139.03,28,Salvador,PIX,2,Em andamento,2025-11-13
191,Power BI,344.05,47,Salvador,Cartão,4,Em andamento,2025-12-06
192,Power BI,866.77,60,Vitória da Conquista,Cartão,1,Concluído,2025-11-29
193,Python,447.77,42,Lauro de Freitas,Boleto,1,Cancelado,2025-09-06
194,Power BI,880.0,52,Salvador,Cartão,2,Concluído,2025-08-23
195,Python,604.52,63,Salvador,Cartão,2,Cancelado,2025-06-06
196,Excel,400.11,43,Feira de Santana,Cartão,3,Em andamento,2025-07-01
197,Python,662.61,33,Lauro de Freitas,PIX,1,Concluído,2025-07-18
198,SQL,901.26,19,Lauro de Freitas,PIX,2,Concluído,2025-07-21
199,Power BI,691.14,23,Camaçari,Boleto,5,Em andamento,2025-12-18
200,Python,304.59,33,Lauro de Freitas,Cartão,4,Cancelado,2025-11-06
201,Power BI,396.26,52,Feira de Santana,Cartão,2,Concluído,2025-12-17
202,Python,819.99,26,Vitória da Conquista,Boleto,5,Cancelado,2025-08-09
203,SQL,996.02,27,Lauro de Freitas,Cartão,3,Concluído,2025-09-30
204,Python,953.64,25,Feira de Santana,PIX,2,Em andamento,2025-06-13
205,Python,892.02,44,Camaçari,PIX,4,Em andamento,2025-11-23
206,Excel,939.83,35,Feira de Santana,Cartão,1,Concluído,2025-01-14
207,Python,786.1,57,Lauro de Freitas,PIX,5,Concluído,2025-04-29
208,Excel,636.62,32,Salvador,PIX,1,Em andamento,2025-09-02
209,Excel,220.58,56,Camaçari,Boleto,3,Concluído,2025-07-18
210,SQL,542.2,26,Feira de Santana,Cartão,2,Concluído,2025-01-08
211,Power BI,932.79,44,Feira de Santana,Boleto,2,Em andamento,2025-02-03
212,Excel,259.27,46,Lauro de Freitas,PIX,3,Em andamento,2025-05-07
213,Excel,484.7,20,Lauro de Freitas,Boleto,4,Em andamento,2025-07-21
214,Python,650.25,65,Lauro de Freitas,Boleto,5,Concluído,2025-12-27
215,Power BI,808.13,51,Salvador,PIX,4,Em andamento,2025-01-22
216,Excel,889.9,33,Lauro de Freitas,Boleto,4,Cancelado,2025-01-21
217,SQL,601.83,51,Salvador,Cartão,3,Concluído,2025-06-05
218,Python,796.21,36,Camaçari,Cartão,4,Concluído,2025-01-28
219,Python,720.86,27,Camaçari,Boleto,4,Concluído,2025-09-14
220,Python,201.75,55,Lauro de Freitas,Cartão,4,Concluído,2025-08-19
221,Excel,122.32,47,Lauro de Freitas,Boleto,2,Em andamento,2025-02-16
222,C#,324.97,62,Feira de Santana,Boleto,1,Concluído,2025-12-28
223,Python,504.36,41,Salvador,Boleto,4,Em andamento,2025-09-19
224,Python,650.77,28,Camaçari,Boleto,4,Concluído,2025-03-29
225,Python,920.93,54,Feira de Santana,Cartão,2,Concluído,2025-12-31
226,Python,146.08,37,Vitória da Conquista,Boleto,4,Concluído,2025-04-03
227,Python,205.7,26,Feira de Santana,Cartão,5,Em andamento,2025-01-07
228,Python,512.68,49,Lauro de Freitas,Cartão,5,Em andamento,2025-05-02
229,Excel,295.09,60,Camaçari,PIX,4,Concluído,2025-11-04
230,Python,639.99,33,Lauro de Freitas,PIX,5,Concluído,2025-04-17
231,Java,143.93,27,Salvador,Boleto,3,Concluído,2025-01-17
232,Python,700.2,56,Vitória da Conquista,PIX,1,Concluído,2025-08-02
233,Python,994.26,28,Vitória da Conquista,Boleto,5,Concluído,2025-10-15
234,Python,259.58,47,Lauro de Freitas,PIX,1,Concluído,2025-06-03
235,Python,390.44,42,Salvador,PIX,5,Concluído,2025-08-30
236,Java,220.99,62,Vitória da Conquista,PIX,5,Concluído,2025-04-18
237,Python,726.15,57,Salvador,Cartão,5,Em andamento,2025-11-19
238,Power BI,575.95,23,Camaçari,Boleto,5,Cancelado,2025-12-28
239,Python,358.37,56,Vitória da Conquista,PIX,5,Concluído,2025-11-16
240,Power BI,418.37,26,Lauro de Freitas,Boleto,4,Concluído,2025-11-20
241,Python,547.87,29,Lauro de Freitas,Cartão,3,Cancelado,2025-01-01
242,Excel,206.29,47,Salvador,Boleto,2,Em andamento,2025-08-01
243,Excel,472.54,39,Vitória da Conquista,Boleto,2,Concluído,2025-04-14
244,SQL,720.92,34,Salvador,PIX,3,Concluído,2025-06-15
245,Python,790.23,25,Vitória da Conquista,PIX,4,Em andamento,2025-11-12
246,Python,964.0,29,Feira de Santana,PIX,3,Cancelado,2025-09-03
247,Excel,924.45,20,Feira de Santana,PIX,2,Concluído,2025-10-02
248,Excel,906.24,47,Camaçari,Boleto,1,Em andamento,2025-06-03
249,Python,608.35,61,Vitória da Conquista,Boleto,5,Concluído,2025-10-23
250,Python,716.84,40,Salvador,Cartão,3,Em andamento,2025-06-23
251,C#,985.16,58,Lauro de Freitas,Cartão,5,Concluído,2025-04-06
252,C#,635.57,37,Vitória da Conquista,Boleto,1,Concluído,2025-02-14
253,Python,547.25,33,Vitória da Conquista,PIX,3,Concluído,2025-06-04
254,Power BI,257.41,41,Salvador,Cartão,1,Concluído,2025-01-13
255,Excel,819.02,50,Feira de Santana,Cartão,3,Cancelado,2025-09-26
256,Python,379.22,38,Feira de Santana,Cartão,5,Em andamento,2025-03-09
257,Python,284.57,20,Camaçari,PIX,5,Concluído,2025-06-09
258,Power BI,939.0,61,Lauro de Freitas,Cartão,3,Concluído,2025-01-24
259,Power BI,192.69,60,Vitória da Conquista,Cartão,5,Em andamento,2025-11-24
260,Excel,902.82,38,Feira de Santana,Cartão,3,Concluído,2025-06-13
261,Python,795.41,60,Salvador,PIX,2,Concluído,2025-02-28
262,Python,113.63,57,Lauro de Freitas,Boleto,1,Concluído,2025-06-29
263,Python,594.33,35,Feira de Santana,Boleto,3,Concluído,2025-03-29
264,Power BI,164.02,57,Vitória da Conquista,Boleto,4,Concluído,2025-01-15
265,Excel,523.56,61,Salvador,Cartão,4,Concluído,2025-08-07
266,Python,452.63,63,Lauro de Freitas,Boleto,4,Concluído,2025-06-09
267,Python,399.0,30,Lauro de Freitas,Cartão,4,Concluído,2025-02-17
268,SQL,831.47,62,Camaçari,Cartão,4,Concluído,2025-11-26
269,Python,739.09,47,Camaçari,Cartão,2,Concluído,2025-11-12
270,Python,332.15,41,Camaçari,Cartão,3,Em andamento,2025-06-16
271,Excel,507.85,19,Salvador,PIX,1,Concluído,2025-08-25
272,Python,861.09,36,Vitória da Conquista,Boleto,5,Concluído,2025-02-22
273,Python,465.02,63,Salvador,PIX,5,Concluído,2025-06-04
274,Python,579.37,43,Lauro de Freitas,PIX,2,Concluído,2025-10-08
275,Excel,243.02,48,Camaçari,Cartão,3,Concluído,2025-12-22
276,SQL,631.77,45,Lauro de Freitas,PIX,5,Em andamento,2025-03-30
277,Excel,696.25,22,Lauro de Freitas,PIX,1,Concluído,2025-08-26
278,Python,392.74,24,Camaçari,Cartão,3,Cancelado,2025-02-05
279,Python,638.33,61,Lauro de Freitas,PIX,3,Concluído,2025-12-05
280,Python,155.23,31,Feira de Santana,Boleto,1,Em andamento,2025-12-05
281,Python,234.19,52,Vitória da Conquista,PIX,5,Concluído,2025-04-11
282,Python,285.0,38,Vitória da Conquista,Boleto,3,Cancelado,2025-08-11
283,Excel,745.91,40,Salvador,Boleto,1,Concluído,2025-09-19
284,SQL,463.68,26,Vitória da Conquista,Cartão,3,Cancelado,2025-01-28
285,SQL,100.66,53,Vitória da Conquista,Cartão,3,Em andamento,2025-05-01
286,Excel,488.44,55,Camaçari,Boleto,3,Em andamento,2025-07-27
287,Python,443.31,52,Feira de Santana,Boleto,2,Concluído,2025-04-07
288,Python,599.78,41,Camaçari,Cartão,3,Cancelado,2025-12-10
289,Excel,212.89,18,Salvador,Boleto,1,Concluído,2025-09-07
290,Excel,692.03,26,Salvador,Cartão,4,Em andamento,2025-12-23
291,SQL,643.89,45,Lauro de Freitas,Cartão,4,Concluído,2025-10-10
292,Power BI,837.96,42,Vitória da Conquista,Cartão,2,Concluído,2025-01-04
293,Python,620.04,64,Feira de Santana,Boleto,5,Concluído,2025-10-07
294,Python,618.62,20,Salvador,Boleto,4,Em andamento,2025-02-27
295,Excel,622.14,62,Salvador,Cartão,5,Cancelado,2025-05-24
296,Python,518.34,23,Lauro de Freitas,Boleto,1,Concluído,2025-11-19
297,Python,767.42,60,Salvador,Boleto,5,Em andamento,2025-06-09
298,Excel,651.64,39,Lauro de Freitas,Cartão,4,Concluído,2025-08-29
299,Python,616.47,39,Camaçari,PIX,3,Concluído,2025-01-19
300,Python,725.45,56,Vitória da Conquista,Boleto,5,Concluído,2025-11-19
301,C#,525.74,28,Lauro de Freitas,Cartão,3,Em andamento,2025-11-16
302,Python,124.47,49,Salvador,Cartão,5,Concluído,2025-05-23
303,Power BI,326.75,57,Vitória da Conquista,PIX,3,Concluído,2025-02-27
304,Excel,643.34,55,Feira de Santana,Boleto,4,Concluído,2025-03-31
305,Python,335.03,62,Feira de Santana,PIX,2,Em andamento,2025-01-17
306,Power BI,408.46,23,Feira de Santana,Boleto,2,Em andamento,2025-07-31
307,Excel,793.23,33,Camaçari,Boleto,2,Concluído,2025-06-26
308,Excel,148.79,34,Salvador,Cartão,2,Concluído,2025-09-01
309,Python,371.13,65,Lauro de Freitas,Cartão,4,Em andamento,2025-07-19
310,Python,527.03,27,Lauro de Freitas,PIX,1,Concluído,2025-08-18
311,Power BI,443.7,38,Lauro de Freitas,Boleto,1,Concluído,2025-09-30
312,Python,673.58,45,Lauro de Freitas,Boleto,3,Concluído,2025-05-17
313,Excel,821.98,34,Lauro de Freitas,PIX,4,Em andamento,2025-05-04
314,Python,760.78,55,Feira de Santana,Boleto,3,Em andamento,2025-04-03
315,Python,381.84,18,Salvador,Cartão,1,Concluído,2025-09-26
316,Python,193.42,46,Vitória da Conquista,Cartão,3,Concluído,2025-01-18
317,Python,121.23,23,Salvador,Boleto,2,Cancelado,2025-11-23
318,Excel,209.51,25,Salvador,Boleto,2,Concluído,2025-11-28
319,Excel,609.36,29,Salvador,Boleto,2,Concluído,2025-08-28
320,Excel,694.33,22,Camaçari,PIX,4,Em andamento,2025-12-08
321,Python,792.79,38,Vitória da Conquista,Cartão,1,Concluído,2025-02-01
322,Python,444.42,39,Salvador,PIX,3,Concluído,2025-02-05
323,Excel,542.45,30,Lauro de Freitas,PIX,2,Concluído,2025-02-25
324,Power BI,229.39,45,Feira de Santana,Boleto,1,Cancelado,2025-05-13
325,Power BI,192.86,22,Salvador,Boleto,3,Em andamento,2025-01-10
326,Python,906.76,27,Salvador,Cartão,4,Concluído,2025-12-25
327,Power BI,396.75,43,Lauro de Freitas,Cartão,5,Em andamento,2025-09-09
328,Excel,530.23,43,Salvador,Boleto,2,Concluído,2025-12-19
329,Power BI,836.08,48,Salvador,Boleto,5,Cancelado,2025-07-03
330,Excel,400.0,37,Camaçari,Cartão,1,Concluído,2025-06-24
331,Python,172.31,47,Vitória da Conquista,Boleto,2,Concluído,2025-01-21
332,Python,970.66,60,Feira de Santana,PIX,4,Em andamento,2025-11-19
333,Python,719.86,49,Salvador,Boleto,4,Em andamento,2025-03-13
334,Python,132.03,19,Lauro de Freitas,Cartão,4,Concluído,2025-10-04
335,SQL,678.97,49,Lauro de Freitas,PIX,1,Concluído,2025-01-29
336,Excel,403.85,64,Salvador,PIX,1,Concluído,2025-12-01
337,Python,700.48,47,Lauro de Freitas,Cartão,5,Concluído,2025-02-06
338,Python,133.09,27,Camaçari,Boleto,1,Concluído,2025-11-13
339,Power BI,141.12,62,Feira de Santana,Cartão,2,Concluído,2025-06-07
340,SQL,838.57,24,Camaçari,Boleto,2,Em andamento,2025-02-02
341,Excel,835.92,24,Salvador,PIX,5,Em andamento,2025-04-23
342,Python,156.7,30,Camaçari,PIX,4,Concluído,2025-12-17
343,Java,618.27,26,Vitória da Conquista,Cartão,1,Concluído,2025-06-21
344,Java,156.8,35,Feira de Santana,PIX,2,Em andamento,2025-10-11
345,Python,248.41,33,Lauro de Freitas,Cartão,2,Concluído,2025-11-20
346,Python,651.1,28,Salvador,PIX,1,Concluído,2025-04-02
347,Python,933.42,63,Lauro de Freitas,PIX,4,Em andamento,2025-09-01
348,Python,723.02,31,Feira de Santana,Boleto,3,Concluído,2025-07-30
349,Python,315.23,29,Lauro de Freitas,Boleto,1,Concluído,2025-09-13
350,Excel,650.74,23,Vitória da Conquista,PIX,4,Concluído,2025-05-01
351,Excel,272.61,51,Salvador,Boleto,3,Em andamento,2025-10-04
352,Excel,556.69,47,Feira de Santana,PIX,1,Concluído,2025-03-18
353,C#,716.62,48,Camaçari,Cartão,2,Em andamento,2025-01-23
354,Python,148.52,41,Vitória da Conquista,Cartão,4,Concluído,2025-11-12
355,Power BI,824.54,47,Salvador,Cartão,1,Cancelado,2025-04-01
356,SQL,242.14,19,Camaçari,Boleto,1,Concluído,2025-05-01
357,Excel,749.16,55,Lauro de Freitas,PIX,4,Concluído,2025-12-13
358,SQL,908.44,32,Salvador,PIX,2,Concluído,2025-07-31
359,SQL,882.8,42,Feira de Santana,Cartão,4,Concluído,2025-01-28
360,Excel,901.34,27,Feira de Santana,Boleto,4,Concluído,2025-07-11
361,Power BI,222.66,64,Feira de Santana,Boleto,3,Cancelado,2025-04-14
362,Excel,402.2,20,Lauro de Freitas,Cartão,3,Concluído,2025-08-27
