id_pedido,data_pedido,categoria,produto,preco_unitario,quantidade,desconto,valor_total,cidade,forma_pagamento,status_pedido,avaliacao_cliente
97,2025-01-05,Games,Nintendo Switch,2175.81,1,0.16,1827.68,Recife,Boleto,Em Transporte,4
98,2025-04-16,Casa,Ventilador,1468.16,3,0.05,4184.26,Porto Alegre,Cartão de Crédito,Em Transporte,5
99,2025-07-07,Smartphones,Redmi,3006.62,5,0.05,14281.44,Fortaleza,Cartão de Débito,Entregue,1
100,2025-11-03,Smartphones,Redmi,1842.38,2,0.18,3021.5,Recife,Cartão de Débito,Em Transporte,5
101,2025-05-02,Games,PS5,5238.1,1,0.1,4714.29,Salvador,Boleto,Entregue,3
102,2025-05-04,Smartphones,Redmi,1499.3,2,0.23,2308.92,Rio de Janeiro,Cartão de Crédito,Entregue,4
103,2025-12-22,Escritório,Webcam,497.45,3,0.17,1238.65,Recife,Cartão de Crédito,Entregue,4
104,2025-05-23,Games,PS5,7272.92,4,0.05,27637.1,Porto Alegre,Cartão de Débito,Entregue,1
105,2025-09-23,Smartphones,iPhone,3741.22,1,0.13,3254.86,Porto Alegre,PIX,Cancelado,5
106,2025-04-24,Escritório,Mesa,7815.55,2,0.04,15005.86,Salvador,PIX,Entregue,5
107,2025-06-16,Escritório,Webcam,4323.35,2,0.15,7349.7,Fortaleza,Cartão de Crédito,Entregue,2
108,2025-11-17,Smartphones,Galaxy,5326.3,2,0.16,8948.18,Curitiba,Boleto,Em Transporte,3
109,2025-03-20,Smartphones,Poco,6562.75,2,0.1,11812.95,São Paulo,Boleto,Entregue,3
110,2025-07-09,Informática,SSD,3532.29,1,0.02,3461.64,Salvador,Cartão de Débito,Cancelado,3
111,2025-11-25,Informática,Mouse,5100.9,3,0.25,11477.02,Fortaleza,Cartão de Crédito,Entregue,3
112,2025-12-26,Smartphones,Poco,2678.06,5,0.28,9641.02,Curitiba,Cartão de Débito,Entregue,5
113,2025-03-15,Games,Xbox Series,3685.23,2,0.16,6191.19,Fortaleza,PIX,Entregue,4
114,2025-03-29,Casa,Ventilador,1713.06,2,0.01,3391.86,Rio de Janeiro,Boleto,Entregue,2
115,2025-02-02,Escritório,Notebook Stand,3090.75,1,0.22,2410.79,Belo Horizonte,Cartão de Crédito,Entregue,4
116,2025-02-03,Games,Nintendo Switch,1669.99,5,0.12,7347.96,Curitiba,Cartão de Débito,Devolvido,2
117,2025-10-26,Escritório,Webcam,1439.24,5,0.07,6692.47,Salvador,Cartão de Crédito,Em Transporte,3
118,2025-07-25,Casa,Liquidificador,196.61,1,0.01,194.64,São Paulo,Cartão de Crédito,Entregue,1
119,2025-04-08,Smartphones,Moto G,5196.95,2,0.26,7691.49,Belo Horizonte,Cartão de Débito,Entregue,1
120,2025-09-12,Escritório,Cadeira,3842.26,2,0.17,6378.15,Porto Alegre,Cartão de Crédito,Entregue,1
121,2025-03-15,Casa,Liquidificador,5297.89,1,0.11,4715.12,Porto Alegre,Cartão de Crédito,Em Transporte,2
122,2025-11-16,Smartphones,iPhone,1999.75,3,0.03,5819.27,Curitiba,PIX,Entregue,1
123,2025-05-03,Games,Nintendo Switch,7343.55,1,0.29,5213.92,Curitiba,PIX,Em Transporte,3
124,2025-07-08,Informática,SSD,5229.57,2,0.15,8890.27,Recife,Cartão de Débito,Em Transporte,2
125,2025-02-25,Escritório,Webcam,3909.71,1,0.02,3831.52,São Paulo,Cartão de Débito,Entregue,5
126,2025-06-27,Escritório,Impressora,7345.94,2,0.22,11459.67,Rio de Janeiro,Cartão de Crédito,Cancelado,5
127,2025-05-13,Smartphones,Poco,6971.01,3,0.19,16939.55,São Paulo,Cartão de Débito,Entregue,1
128,2025-06-23,Games,Headset,663.98,4,0.12,2337.21,São Paulo,Cartão de Crédito,Entregue,2
129,2025-10-15,Escritório,Notebook Stand,7387.15,5,0.19,29917.96,Recife,Cartão de Débito,Entregue,5
130,2025-06-11,Games,Xbox Series,1627.68,4,0.07,6054.97,São Paulo,PIX,Entregue,2
131,2025-10-02,Casa,Air Fryer,1915.35,3,0.12,5056.52,Curitiba,PIX,Entregue,1
132,2025-12-10,Casa,Ventilador,1153.45,2,0.27,1684.04,Porto Alegre,PIX,Em Transporte,3
133,2025-05-25,Smartphones,iPhone,726.86,5,0.18,2980.13,Recife,Cartão de Crédito,Entregue,4
134,2025-01-28,Games,PS5,2013.45,5,0.29,7147.75,Fortaleza,Boleto,Entregue,1
135,2025-08-22,Games,Xbox Series,2386.94,2,0.2,3819.1,São Paulo,Cartão de Crédito,Entregue,2
136,2025-07-26,Escritório,Mesa,1094.88,1,0.06,1029.19,Recife,Cartão de Crédito,Entregue,4
137,2025-08-13,Smartphones,Galaxy,2355.15,2,0.19,3815.34,Fortaleza,Cartão de Crédito,Em Transporte,3
138,2025-04-26,Games,PS5,5821.69,4,0.07,21656.69,Salvador,PIX,Entregue,2
139,2025-01-12,Casa,Micro-ondas,560.76,2,0.23,863.57,Rio de Janeiro,PIX,Entregue,5
140,2025-05-05,Escritório,Notebook Stand,6711.15,1,0.0,6711.15,Porto Alegre,Cartão de Débito,Entregue,5
141,2025-02-18,Escritório,Mesa,1495.81,4,0.13,5205.42,Salvador,Boleto,Entregue,4
142,2025-04-04,Escritório,Mesa,5960.39,5,0.17,24735.62,Rio de Janeiro,Cartão de Crédito,Cancelado,2
143,2025-09-12,Casa,Liquidificador,3249.31,5,0.04,15596.69,Porto Alegre,Boleto,Em Transporte,1
144,2025-04-15,Smartphones,Poco,3800.7,1,0.1,3420.63,Recife,PIX,Entregue,4
145,2025-09-02,Casa,Liquidificador,6129.7,5,0.23,23599.35,Porto Alegre,Cartão de Crédito,Entregue,4
146,2025-12-01,Informática,SSD,4435.7,1,0.11,3947.77,Belo Horizonte,Cartão de Crédito,Entregue,5
147,2025-10-27,Escritório,Cadeira,1428.77,2,0.12,2514.64,São Paulo,PIX,Entregue,3
148,2025-11-29,Casa,Liquidificador,163.07,4,0.2,521.82,Recife,Boleto,Cancelado,4
149,2025-08-10,Casa,Ventilador,7716.98,1,0.23,5942.07,São Paulo,Boleto,Entregue,1
150,2025-04-24,Informática,Monitor,7930.56,1,0.18,6503.06,Curitiba,Boleto,Entregue,3
151,2025-10-09,Escritório,Cadeira,2501.19,4,0.05,9504.52,Salvador,Boleto,Entregue,4
152,2025-05-13,Informática,Notebook,4346.39,1,0.11,3868.29,São Paulo,Cartão de Crédito,Entregue,5
153,2025-06-21,Escritório,Webcam,4171.5,3,0.04,12013.92,Fortaleza,Boleto,Entregue,5
154,2025-05-06,Smartphones,iPhone,7479.17,4,0.14,25728.34,Salvador,Cartão de Crédito,Cancelado,4
155,2025-01-17,Escritório,Webcam,466.3,5,0.1,2098.35,Belo Horizonte,Cartão de Débito,Entregue,3
156,2025-11-03,Games,Nintendo Switch,2620.24,3,0.16,6603.0,Salvador,PIX,Entregue,5
157,2025-12-08,Smartphones,Moto G,2072.39,3,0.15,5284.59,Belo Horizonte,Cartão de Débito,Entregue,5
158,2025-11-11,Escritório,Notebook Stand,1836.77,4,0.27,5363.37,Recife,Cartão de Débito,Entregue,4
159,2025-10-11,Casa,Liquidificador,4711.31,4,0.19,15264.64,Rio de Janeiro,Boleto,Cancelado,4
160,2025-07-02,Informática,Teclado,2332.16,4,0.04,8955.49,Rio de Janeiro,Boleto,Entregue,2
161,2025-01-28,Games,PS5,3526.67,4,0.29,10015.74,Porto Alegre,Cartão de Crédito,Entregue,2
162,2025-10-08,Informática,Mouse,4208.03,1,0.05,3997.63,Rio de Janeiro,PIX,Entregue,1
163,2025-06-14,Escritório,Cadeira,3851.53,2,0.11,6855.72,Salvador,Cartão de Crédito,Entregue,2
164,2025-11-21,Escritório,Impressora,6513.57,1,0.18,5341.13,São Paulo,PIX,Entregue,5
165,2025-09-26,Informática,Teclado,1276.87,4,0.26,3779.54,Fortaleza,Cartão de Débito,Entregue,2
166,2025-04-18,Informática,Mouse,192.38,2,0.12,338.59,São Paulo,Boleto,Entregue,4
167,2025-03-09,Casa,Micro-ondas,7158.48,1,0.15,6084.71,Fortaleza,Cartão de Débito,Entregue,2
168,2025-07-14,Informática,SSD,7344.81,2,0.11,13073.76,Recife,Boleto,Entregue,1
169,2025-10-03,Informática,Monitor,5963.7,3,0.14,15386.35,Recife,Boleto,Entregue,5
170,2025-07-28,Informática,SSD,2782.44,4,0.01,11018.46,Fortaleza,Cartão de Débito,Entregue,3
171,2025-06-22,Games,Headset,3896.78,4,0.07,14496.02,Fortaleza,PIX,Entregue,2
172,2025-10-22,Smartphones,Galaxy,7412.89,3,0.21,17568.55,Fortaleza,PIX,Entregue,2
173,2025-02-17,Casa,Cafeteira,542.99,3,0.14,1400.91,Fortaleza,Cartão de Crédito,Entregue,3
174,2025-02-06,Smartphones,Galaxy,5991.75,5,0.05,28460.81,Recife,Boleto,Entregue,2
175,2025-04-19,Escritório,Notebook Stand,3062.42,3,0.29,6522.95,São Paulo,Boleto,Em Transporte,2
176,2025-02-19,Casa,Cafeteira,4646.59,1,0.27,3392.01,São Paulo,Cartão de Crédito,Entregue,1
177,2025-02-03,Smartphones,iPhone,3066.54,5,0.28,11039.54,Recife,Cartão de Débito,Entregue,1
178,2025-05-20,Informática,SSD,1593.09,5,0.1,7168.9,Recife,Boleto,Entregue,4
179,2025-06-01,Escritório,Webcam,2176.46,4,0.02,8531.72,Salvador,Cartão de Crédito,Entregue,3
180,2025-03-29,Casa,Ventilador,2750.19,2,0.11,4895.34,Recife,Boleto,Entregue,4
181,2025-11-19,Casa,Micro-ondas,2075.71,5,0.26,7680.13,Recife,Boleto,Em Transporte,5
182,2025-03-31,Smartphones,Galaxy,5944.54,1,0.29,4220.62,Porto Alegre,PIX,Entregue,1
183,2025-02-18,Informática,Mouse,1686.24,2,0.21,2664.26,Belo Horizonte,PIX,Entregue,5
184,2025-04-24,Smartphones,iPhone,5391.09,5,0.12,23720.8,Belo Horizonte,Cartão de Débito,Entregue,1
185,2025-12-27,Informática,Monitor,5118.24,2,0.25,7677.36,São Paulo,Cartão de Débito,Em Transporte,3
186,2025-05-23,Games,Headset,348.05,5,0.21,1374.8,Porto Alegre,Boleto,Entregue,4
187,2025-06-11,Escritório,Notebook Stand,2654.12,1,0.11,2362.17,Recife,Cartão de Crédito,Entregue,5
188,2025-08-16,Games,Xbox Series,295.95,2,0.21,467.6,Salvador,Cartão de Débito,Entregue,4
189,2025-12-03,Escritório,Cadeira,3394.8,5,0.23,13069.98,Recife,Cartão de Débito,Entregue,3
190,2025-06-15,Games,Nintendo Switch,5739.26,5,0.09,26113.63,Recife,Boleto,Em Transporte,4
191,2025-12-15,Smartphones,Poco,1313.32,2,0.19,2127.58,Recife,PIX,Em Transporte,4
192,2025-05-15,Games,PS5,2423.54,1,0.23,1866.13,Rio de Janeiro,Boleto,Em Transporte,1
193,2025-03-16,Casa,Cafeteira,7871.75,3,0.17,19600.66,Fortaleza,PIX,Em Transporte,5
194,2025-03-25,Casa,Liquidificador,4247.06,3,0.29,9046.24,Rio de Janeiro,Cartão de Crédito,Devolvido,4
195,2025-11-15,Informática,Teclado,6255.56,4,0.26,18516.46,Recife,Cartão de Débito,Entregue,5
196,2025-06-18,Casa,Micro-ondas,1760.93,2,0.1,3169.67,São Paulo,Boleto,Entregue,4
197,2025-09-15,Casa,Ventilador,2147.35,3,0.05,6119.95,Curitiba,Boleto,Entregue,3
198,2025-06-03,Smartphones,Moto G,730.78,1,0.14,628.47,Rio de Janeiro,PIX,Entregue,1
199,2025-08-30,Casa,Liquidificador,5169.1,2,0.22,8063.8,Fortaleza,PIX,Entregue,5
200,2025-08-24,Games,Nintendo Switch,3254.1,4,0.16,10933.78,Porto Alegre,Cartão de Débito,Devolvido,4
201,2025-05-30,Games,Controle,3851.38,4,0.22,12016.31,Belo Horizonte,Cartão de Crédito,Entregue,5
202,2025-09-29,Casa,Micro-ondas,3992.45,4,0.27,11657.95,Curitiba,Cartão de Débito,Em Transporte,5
203,2025-01-19,Informática,Teclado,3049.52,3,0.3,6403.99,Salvador,PIX,Entregue,1
204,2025-11-08,Games,Xbox Series,1659.22,2,0.25,2488.83,Salvador,Cartão de Crédito,Entregue,1
205,2025-08-14,Casa,Cafeteira,6970.74,3,0.25,15684.17,Rio de Janeiro,PIX,Entregue,1
206,2025-04-09,Games,Xbox Series,6008.3,1,0.08,5527.64,Recife,PIX,Entregue,1
207,2025-08-26,Informática,Mouse,5370.45,4,0.1,19333.62,Fortaleza,Cartão de Crédito,Em Transporte,3
208,2025-11-22,Informática,Mouse,4909.12,2,0.09,8934.6,Salvador,Cartão de Débito,Entregue,4
209,2025-10-27,Smartphones,Redmi,2336.27,3,0.12,6167.75,Belo Horizonte,Cartão de Débito,Entregue,3
210,2025-12-10,Casa,Cafeteira,7859.46,3,0.02,23106.81,Curitiba,Boleto,Entregue,5
211,2025-03-12,Smartphones,iPhone,980.18,1,0.12,862.56,Belo Horizonte,Cartão de Crédito,Entregue,5
212,2025-08-18,Smartphones,Redmi,2753.81,2,0.15,4681.48,Recife,Cartão de Débito,Em Transporte,1
213,2025-04-26,Games,Headset,6724.15,5,0.04,32275.92,Belo Horizonte,PIX,Entregue,2
214,2025-01-07,Smartphones,iPhone,5766.37,4,0.02,22604.17,Porto Alegre,Boleto,Cancelado,3
215,2025-12-27,Escritório,Impressora,5759.02,3,0.11,15376.58,Salvador,Cartão de Débito,Entregue,3
216,2025-11-11,Games,Xbox Series,4000.82,3,0.17,9962.04,Rio de Janeiro,Cartão de Crédito,Entregue,1
217,2025-06-10,Casa,Air Fryer,5627.68,5,0.26,20822.42,Rio de Janeiro,Cartão de Crédito,Entregue,2
218,2025-12-15,Casa,Micro-ondas,6123.03,1,0.0,6123.03,Belo Horizonte,Cartão de Débito,Entregue,1
219,2025-12-22,Smartphones,Redmi,650.13,5,0.09,2958.09,Recife,Cartão de Débito,Entregue,2
220,2025-01-05,Casa,Ventilador,7583.48,1,0.07,7052.64,Recife,PIX,Entregue,4
221,2025-11-25,Games,Headset,160.08,1,0.02,156.88,Rio de Janeiro,Cartão de Débito,Entregue,4
222,2025-06-14,Games,Headset,1525.38,1,0.16,1281.32,Curitiba,PIX,Em Transporte,2
223,2025-03-08,Games,PS5,6940.84,3,0.24,15825.12,São Paulo,Cartão de Débito,Entregue,5
224,2025-11-11,Smartphones,iPhone,7771.86,5,0.23,29921.66,Fortaleza,PIX,Entregue,3
225,2025-04-24,Informática,Monitor,982.46,1,0.2,785.97,Fortaleza,Cartão de Crédito,Entregue,3
226,2025-05-10,Casa,Cafeteira,6255.94,5,0.05,29715.71,Recife,Boleto,Entregue,5
227,2025-02-18,Games,Xbox Series,7858.88,4,0.01,31121.16,Belo Horizonte,Cartão de Débito,Em Transporte,1
228,2025-01-24,Games,Headset,2698.11,5,0.06,12681.12,Rio de Janeiro,Cartão de Crédito,Entregue,2
229,2025-04-26,Informática,SSD,7048.1,2,0.21,11136.0,Rio de Janeiro,Boleto,Entregue,5
230,2025-09-03,Informática,SSD,5212.16,2,0.02,10215.83,São Paulo,Boleto,Devolvido,2
231,2025-09-04,Games,Xbox Series,6583.03,4,0.27,19222.45,Belo Horizonte,PIX,Entregue,3
232,2025-12-27,Escritório,Webcam,911.59,3,0.24,2078.43,Salvador,Cartão de Débito,Em Transporte,2
233,2025-10-31,Smartphones,Poco,1291.5,4,0.15,4391.1,Curitiba,Boleto,Entregue,5
234,2025-03-27,Games,Controle,830.55,3,0.27,1818.9,Rio de Janeiro,PIX,Em Transporte,3
235,2025-03-08,Casa,Ventilador,3466.83,4,0.01,13728.65,Rio de Janeiro,Cartão de Débito,Entregue,1
236,2025-07-26,Casa,Liquidificador,3624.93,1,0.28,2609.95,Salvador,Boleto,Entregue,5
237,2025-10-16,Smartphones,iPhone,5734.23,2,0.22,8945.4,Fortaleza,Cartão de Crédito,Entregue,3
238,2025-03-12,Smartphones,Redmi,4102.86,5,0.09,18668.01,Salvador,Cartão de Crédito,Entregue,2
239,2025-09-15,Smartphones,Galaxy,660.5,2,0.13,1149.27,São Paulo,Cartão de Débito,Entregue,4
240,2025-01-25,Smartphones,Poco,3377.57,1,0.3,2364.3,Salvador,PIX,Entregue,3
241,2025-07-17,Casa,Ventilador,1313.63,2,0.23,2022.99,Salvador,Boleto,Entregue,5
242,2025-07-11,Smartphones,Redmi,3264.6,3,0.28,7051.54,Salvador,PIX,Entregue,5
243,2025-03-17,Escritório,Notebook Stand,6630.25,3,0.11,17702.77,Fortaleza,Boleto,Em Transporte,1
244,2025-12-01,Smartphones,Moto G,6694.45,3,0.09,18275.85,Porto Alegre,PIX,Entregue,1
245,2025-09-26,Escritório,Impressora,6688.24,4,0.03,25950.37,Recife,PIX,Devolvido,2
246,2025-05-26,Escritório,Impressora,1210.05,1,0.27,883.34,Belo Horizonte,Cartão de Débito,Entregue,5
247,2025-09-11,Games,Controle,113.31,4,0.14,389.79,Belo Horizonte,PIX,Cancelado,4
