id_conteudo,titulo,tipo,genero,ano_lancamento,duracao_minutos,temporadas,quantidade_episodios,classificacao_indicativa,idioma_original,pais_producao,plataforma,avaliacao_publico,quantidade_avaliacoes,orcamento_milhoes,premios_recebidos
45,Aventura no Espaço 45,Filme,Suspense,2013,147,1,1,14 anos,Francês,Brasil,StreamFlix,3.9,397363,152.27,1
46,O Reino Perdido 46,Filme,Romance,1994,89,1,1,18 anos,Português,Brasil,PlayTV,2.9,50536,54.31,4
47,O Investigador 47,Filme,Ação,2012,140,1,1,Livre,Português,Inglaterra,Cinema+,4.2,154190,106.38,19
48,Risos de Família 48,Filme,Romance,2021,82,1,1,Livre,Francês,Brasil,StreamFlix,1.4,290330,48.94,14
49,O Último Horizonte 49,Filme,Drama,2006,144,1,1,18 anos,Japonês,EUA,Vision,4.3,267630,228.68,14
50,Mistérios da Cidade 50,Filme,Comédia,2009,85,1,1,12 anos,Francês,Japão,Vision,4.8,366069,127.92,6
51,Operação Final 51,Filme,Suspense,2002,164,1,1,16 anos,Japonês,Inglaterra,PlayTV,2.1,386389,244.89,1
52,Amor em Paris 52,Série,Fantasia,2009,34,7,78,12 anos,Francês,Japão,StreamFlix,1.0,5642,225.89,25
53,Amor em Paris 53,Série,Ficção Científica,2022,50,7,49,Livre,Português,EUA,Cinema+,4.5,325361,65.99,13
54,Além do Tempo 54,Filme,Terror,2011,132,1,1,18 anos,Espanhol,França,Cinema+,2.0,177077,33.99,22
55,Risos de Família 55,Série,Fantasia,1996,38,8,74,14 anos,Inglês,Japão,PlayTV,4.8,487906,235.08,21
56,O Último Horizonte 56,Filme,Comédia,2024,177,1,1,Livre,Espanhol,França,MegaStream,1.6,286815,101.76,19
57,Aventura no Espaço 57,Filme,Drama,1990,159,1,1,10 anos,Inglês,EUA,Cinema+,2.3,481932,160.33,17
58,O Último Horizonte 58,Filme,Fantasia,2000,123,1,1,10 anos,Português,EUA,Vision,3.0,162448,228.07,2
59,O Reino Perdido 59,Série,Romance,2011,60,2,21,12 anos,Francês,EUA,Vision,1.5,112963,210.79,6
60,Amor em Paris 60,Filme,Fantasia,2023,94,1,1,Livre,Francês,Coreia do Sul,MegaStream,1.5,178982,141.4,10
61,Amor em Paris 61,Filme,Romance,1990,156,1,1,10 anos,Espanhol,França,PlayTV,3.9,344310,99.17,0
62,Aventura no Espaço 62,Filme,Drama,2016,160,1,1,14 anos,Japonês,Brasil,Cinema+,3.1,25483,13.14,0
63,O Reino Perdido 63,Filme,Terror,2001,177,1,1,14 anos,Português,Coreia do Sul,Cinema+,1.7,320020,211.49,18
64,Amor em Paris 64,Série,Fantasia,2018,37,3,56,Livre,Português,Japão,MegaStream,3.7,417848,171.58,5
65,Risos de Família 65,Série,Comédia,2005,47,4,15,18 anos,Japonês,EUA,PlayTV,1.4,473134,150.36,21
66,O Reino Perdido 66,Filme,Drama,2008,83,1,1,10 anos,Japonês,Coreia do Sul,PlayTV,1.8,187729,48.51,19
67,Além do Tempo 67,Série,Terror,1991,26,8,11,16 anos,Português,Inglaterra,StreamFlix,4.3,403491,224.37,11
68,Amor em Paris 68,Série,Drama,1999,55,3,64,Livre,Francês,França,StreamFlix,1.9,59051,211.41,9
69,Além do Tempo 69,Série,Suspense,1994,59,6,114,10 anos,Francês,Inglaterra,Cinema+,1.6,212187,23.31,21
70,Operação Final 70,Filme,Comédia,1994,125,1,1,Livre,Japonês,França,MegaStream,2.5,265230,156.1,9
71,Amor em Paris 71,Filme,Romance,2018,160,1,1,12 anos,Português,Brasil,MegaStream,3.5,288309,226.75,2
72,Risos de Família 72,Série,Drama,2019,34,6,56,Livre,Português,Inglaterra,Cinema+,3.3,217586,101.96,18
73,O Reino Perdido 73,Série,Fantasia,2009,50,3,56,Livre,Japonês,Inglaterra,StreamFlix,2.3,105465,98.2,22
74,O Último Horizonte 74,Filme,Ficção Científica,2024,84,1,1,12 anos,Japonês,Inglaterra,PlayTV,1.5,56218,107.46,10
75,Operação Final 75,Série,Romance,1999,50,7,103,14 anos,Japonês,Japão,StreamFlix,4.1,334158,125.41,8
76,O Reino Perdido 76,Série,Comédia,2001,58,2,13,18 anos,Espanhol,Coreia do Sul,PlayTV,1.8,381713,2.19,5
77,Além do Tempo 77,Filme,Ação,2026,107,1,1,10 anos,Espanhol,Coreia do Sul,Vision,2.1,150284,173.38,23
78,O Último Horizonte 78,Filme,Fantasia,2025,137,1,1,Livre,Português,França,Vision,4.7,19966,84.35,21
79,O Investigador 79,Série,Ação,2002,59,1,30,10 anos,Francês,Japão,PlayTV,3.4,286061,190.6,3
80,O Investigador 80,Série,Terror,2011,43,5,95,Livre,Espanhol,Coreia do Sul,PlayTV,3.9,465000,76.3,9
81,Amor em Paris 81,Série,Ação,1994,23,3,61,14 anos,Inglês,França,Cinema+,4.0,207078,11.58,14
82,O Reino Perdido 82,Filme,Ficção Científica,2008,155,1,1,16 anos,Inglês,Coreia do Sul,StreamFlix,2.1,319884,168.04,18
83,Amor em Paris 83,Série,Ficção Científica,1990,29,5,14,16 anos,Japonês,Brasil,StreamFlix,1.6,481304,184.14,19
84,Amor em Paris 84,Filme,Romance,1994,126,1,1,12 anos,Português,EUA,MegaStream,2.9,179019,115.56,3
85,O Investigador 85,Série,Terror,1999,46,8,35,14 anos,Francês,Brasil,Cinema+,1.1,358207,231.7,18
86,Aventura no Espaço 86,Filme,Drama,2009,106,1,1,12 anos,Português,França,Vision,1.6,172766,231.63,25
87,Risos de Família 87,Filme,Romance,2002,83,1,1,16 anos,Japonês,Brasil,Vision,2.8,182235,140.05,5
88,Aventura no Espaço 88,Filme,Terror,1995,157,1,1,12 anos,Francês,Japão,MegaStream,4.2,245169,124.18,21
89,Operação Final 89,Filme,Fantasia,2021,176,1,1,12 anos,Francês,Inglaterra,Vision,1.3,115803,48.56,5
90,Aventura no Espaço 90,Filme,Drama,2019,97,1,1,10 anos,Espanhol,Brasil,StreamFlix,3.4,238779,200.54,12
91,Mistérios da Cidade 91,Filme,Ficção Científica,2025,156,1,1,12 anos,Português,Brasil,MegaStream,3.0,101789,239.49,3
92,Mistérios da Cidade 92,Série,Ficção Científica,1996,25,6,39,Livre,Japonês,Coreia do Sul,Cinema+,4.6,474452,123.3,8
93,Amor em Paris 93,Filme,Romance,2010,128,1,1,16 anos,Inglês,Coreia do Sul,Vision,1.5,132450,178.37,21
94,Código Sombrio 94,Filme,Fantasia,1996,151,1,1,14 anos,Espanhol,Japão,PlayTV,1.9,21748,166.83,11
95,Risos de Família 95,Série,Suspense,1999,42,1,80,Livre,Espanhol,Inglaterra,PlayTV,4.5,143089,159.95,7
96,O Reino Perdido 96,Série,Comédia,1996,36,4,74,16 anos,Japonês,EUA,Vision,1.6,355261,185.86,25
97,Aventura no Espaço 97,Filme,Drama,2003,166,1,1,14 anos,Francês,Japão,PlayTV,4.5,99926,227.29,9
98,Aventura no Espaço 98,Série,Ficção Científica,1996,27,6,49,Livre,Francês,Brasil,MegaStream,3.8,3003,15.3,13
99,O Investigador 99,Filme,Ação,2005,144,1,1,10 anos,Português,França,PlayTV,1.3,157091,9.71,9
100,Amor em Paris 100,Filme,Ação,1996,96,1,1,10 anos,Japonês,Inglaterra,PlayTV,4.1,470388,75.23,25
101,Código Sombrio 101,Filme,Ficção Científica,2009,120,1,1,Livre,Inglês,Brasil,Vision,2.8,88582,208.78,6
102,O Reino Perdido 102,Filme,Drama,2011,110,1,1,Livre,Francês,Coreia do Sul,PlayTV,4.5,291072,43.02,6
103,Amor em Paris 103,Série,Fantasia,1998,39,5,42,Livre,Espanhol,Japão,Vision,1.8,102610,129.51,24
104,Operação Final 104,Filme,Ficção Científica,2003,157,1,1,Livre,Japonês,Brasil,Vision,1.9,344132,154.84,5
105,Mistérios da Cidade 105,Filme,Suspense,2015,163,1,1,16 anos,Japonês,Japão,Cinema+,3.5,164282,205.5,25
106,O Último Horizonte 106,Filme,Suspense,1998,136,1,1,16 anos,Inglês,EUA,StreamFlix,2.2,432423,29.78,8
107,Mistérios da Cidade 107,Série,Suspense,2022,53,8,11,16 anos,Inglês,EUA,Cinema+,3.7,3439,105.4,21
108,O Investigador 108,Série,Romance,2014,60,8,79,10 anos,Inglês,EUA,Vision,1.8,153423,134.45,24
109,Risos de Família 109,Filme,Fantasia,2001,124,1,1,12 anos,Japonês,Coreia do Sul,Vision,4.9,8804,36.56,21
110,O Reino Perdido 110,Filme,Drama,1990,176,1,1,16 anos,Francês,Inglaterra,Cinema+,3.9,297949,78.95,25
111,Além do Tempo 111,Série,Fantasia,2007,22,8,42,18 anos,Inglês,França,Cinema+,1.9,444267,199.62,23
112,O Último Horizonte 112,Filme,Terror,2015,109,1,1,Livre,Francês,França,MegaStream,3.3,122240,179.51,21
113,Aventura no Espaço 113,Série,Ficção Científica,2002,30,2,29,12 anos,Francês,Coreia do Sul,Cinema+,3.9,495145,111.97,9
114,O Reino Perdido 114,Filme,Suspense,2018,85,1,1,12 anos,Português,França,Vision,1.5,118203,231.92,16
115,Código Sombrio 115,Filme,Terror,2023,93,1,1,10 anos,Japonês,Inglaterra,PlayTV,2.2,80754,20.64,21
116,O Último Horizonte 116,Filme,Romance,2019,130,1,1,10 anos,Francês,Japão,Vision,4.3,100581,139.68,25
117,O Investigador 117,Filme,Fantasia,2013,138,1,1,16 anos,Inglês,Coreia do Sul,Cinema+,1.3,13952,179.8,16
118,Amor em Paris 118,Filme,Fantasia,1994,135,1,1,14 anos,Inglês,EUA,MegaStream,3.8,53815,203.39,5
119,Aventura no Espaço 119,Filme,Ação,2013,96,1,1,18 anos,Francês,Coreia do Sul,Vision,4.5,436438,71.82,8
120,O Último Horizonte 120,Filme,Suspense,1998,140,1,1,10 anos,Francês,Inglaterra,MegaStream,4.0,139002,189.47,1
121,O Investigador 121,Série,Drama,2004,21,6,100,14 anos,Francês,Brasil,PlayTV,4.5,445519,246.31,17
122,Operação Final 122,Filme,Fantasia,1998,141,1,1,Livre,Francês,Inglaterra,MegaStream,2.5,108901,126.31,19
123,Código Sombrio 123,Filme,Romance,1999,175,1,1,18 anos,Português,EUA,Vision,3.8,201760,215.32,10
124,Operação Final 124,Filme,Drama,2016,136,1,1,12 anos,Português,Coreia do Sul,PlayTV,3.7,258167,29.85,6
125,O Investigador 125,Série,Ficção Científica,2022,60,1,84,14 anos,Japonês,Japão,Cinema+,4.4,123373,46.54,3
126,Aventura no Espaço 126,Filme,Terror,2022,81,1,1,18 anos,Japonês,Inglaterra,MegaStream,3.7,471700,214.21,6
127,Amor em Paris 127,Filme,Ação,2006,120,1,1,Livre,Francês,EUA,Cinema+,4.1,231387,123.7,12
128,Operação Final 128,Filme,Ação,2002,146,1,1,10 anos,Espanhol,Coreia do Sul,StreamFlix,1.9,91196,54.62,14
129,Além do Tempo 129,Série,Suspense,2002,21,5,8,12 anos,Português,EUA,MegaStream,3.3,47955,166.63,0
130,Mistérios da Cidade 130,Filme,Suspense,2016,142,1,1,10 anos,Português,Brasil,Vision,3.8,204537,238.34,8
131,Código Sombrio 131,Série,Comédia,1991,38,2,84,Livre,Espanhol,EUA,Vision,2.4,399818,94.48,18
132,Risos de Família 132,Série,Drama,2001,41,3,84,14 anos,Japonês,Coreia do Sul,StreamFlix,1.2,65020,58.32,1
133,O Investigador 133,Série,Fantasia,2020,32,1,13,14 anos,Espanhol,EUA,Cinema+,2.8,159780,193.55,12
134,Código Sombrio 134,Filme,Fantasia,2018,144,1,1,14 anos,Português,Inglaterra,Cinema+,1.6,102381,107.44,6
135,O Investigador 135,Filme,Drama,2014,81,1,1,16 anos,Francês,Brasil,Cinema+,2.6,36019,15.32,22
136,Mistérios da Cidade 136,Série,Drama,1999,59,6,11,Livre,Espanhol,Japão,StreamFlix,4.8,418906,23.55,12
137,Risos de Família 137,Filme,Suspense,2019,157,1,1,14 anos,Português,Brasil,PlayTV,3.4,338377,28.82,9
138,O Investigador 138,Filme,Suspense,2012,148,1,1,12 anos,Português,Inglaterra,Vision,4.7,119798,76.76,16
139,O Reino Perdido 139,Série,Ação,1991,29,8,40,Livre,Japonês,Japão,MegaStream,2.2,239166,56.22,8
140,Risos de Família 140,Filme,Fantasia,1991,150,1,1,12 anos,Inglês,EUA,Cinema+,3.5,153397,95.77,12
141,O Último Horizonte 141,Filme,Ação,1998,137,1,1,14 anos,Japonês,França,StreamFlix,1.6,3430,110.49,17
142,Aventura no Espaço 142,Série,Ficção Científica,2011,60,7,107,Livre,Inglês,Japão,StreamFlix,1.8,180699,19.21,9
143,O Último Horizonte 143,Filme,Drama,1991,128,1,1,14 anos,Português,Inglaterra,PlayTV,3.3,476819,37.59,21
144,Amor em Paris 144,Série,Ficção Científica,2010,51,5,87,10 anos,Espanhol,EUA,StreamFlix,4.5,450934,249.18,11
145,Aventura no Espaço 145,Série,Drama,1997,43,6,78,12 anos,Inglês,Inglaterra,MegaStream,2.8,450452,39.19,9
146,Aventura no Espaço 146,Série,Romance,2006,60,1,98,Livre,Espanhol,Japão,Vision,1.4,171824,59.72,5
147,O Reino Perdido 147,Série,Ficção Científica,2000,39,4,80,14 anos,Francês,EUA,StreamFlix,1.2,195654,200.6,24
148,O Reino Perdido 148,Filme,Romance,2014,167,1,1,10 anos,Espanhol,EUA,MegaStream,3.4,206684,108.18,10
149,Risos de Família 149,Série,Terror,1995,32,2,115,16 anos,Português,Japão,MegaStream,3.5,18052,159.53,19
150,Amor em Paris 150,Filme,Comédia,2009,102,1,1,14 anos,Japonês,França,MegaStream,1.0,35750,192.07,16
151,Amor em Paris 151,Série,Fantasia,2025,40,4,67,16 anos,Português,França,Cinema+,1.4,264973,87.28,2
152,O Investigador 152,Filme,Suspense,1995,119,1,1,14 anos,Francês,Inglaterra,MegaStream,2.5,472766,134.39,14
153,Risos de Família 153,Série,Romance,2021,49,8,94,10 anos,Português,Coreia do Sul,Cinema+,3.4,206529,160.41,24
154,Operação Final 154,Filme,Comédia,2006,147,1,1,18 anos,Inglês,Brasil,PlayTV,1.0,268129,31.22,0
155,O Investigador 155,Filme,Terror,2005,115,1,1,16 anos,Japonês,Inglaterra,MegaStream,1.7,344180,108.95,7
156,Código Sombrio 156,Série,Ação,2023,46,6,110,14 anos,Português,Brasil,Vision,3.6,405250,73.13,8
157,O Último Horizonte 157,Filme,Comédia,2022,139,1,1,14 anos,Inglês,França,MegaStream,2.8,137937,111.5,13
158,Operação Final 158,Série,Romance,2019,50,6,70,10 anos,Inglês,Inglaterra,Cinema+,4.3,395497,240.76,21
159,Mistérios da Cidade 159,Filme,Suspense,2023,84,1,1,Livre,Espanhol,França,Vision,3.0,366626,78.64,5
160,Aventura no Espaço 160,Filme,Terror,1990,163,1,1,Livre,Francês,Coreia do Sul,Vision,3.4,129218,29.0,15
161,O Último Horizonte 161,Série,Suspense,2001,59,2,32,14 anos,Francês,Brasil,Cinema+,1.5,247244,69.96,16
162,Código Sombrio 162,Filme,Fantasia,1992,135,1,1,16 anos,Francês,Coreia do Sul,PlayTV,3.4,132546,188.13,7
163,Aventura no Espaço 163,Filme,Suspense,2015,167,1,1,14 anos,Inglês,Coreia do Sul,PlayTV,4.1,99456,116.84,7
164,O Último Horizonte 164,Filme,Fantasia,2002,146,1,1,18 anos,Espanhol,Japão,Vision,4.1,387273,185.64,22
165,Código Sombrio 165,Filme,Romance,2002,164,1,1,10 anos,Inglês,Inglaterra,MegaStream,4.0,139065,73.61,0
166,O Último Horizonte 166,Série,Drama,2013,22,1,40,16 anos,Japonês,Brasil,StreamFlix,1.9,60273,174.74,25
167,Risos de Família 167,Série,Terror,1994,23,5,77,14 anos,Português,Japão,StreamFlix,2.3,203434,77.44,21
168,Amor em Paris 168,Filme,Drama,2006,168,1,1,16 anos,Francês,EUA,Cinema+,3.0,459466,90.41,13
169,Aventura no Espaço 169,Filme,Romance,2015,152,1,1,12 anos,Inglês,EUA,MegaStream,3.7,30136,177.96,11
170,O Investigador 170,Série,Drama,2021,20,4,100,12 anos,Inglês,Coreia do Sul,Vision,4.2,390908,242.1,8
171,O Investigador 171,Filme,Suspense,1998,114,1,1,16 anos,Espanhol,EUA,MegaStream,3.7,448130,143.37,13
172,Amor em Paris 172,Filme,Romance,2021,108,1,1,10 anos,Inglês,EUA,Vision,4.2,226262,217.0,2
173,Risos de Família 173,Filme,Ficção Científica,2009,94,1,1,12 anos,Japonês,Coreia do Sul,MegaStream,3.8,195360,177.85,18
174,Operação Final 174,Série,Romance,2016,45,7,50,10 anos,Português,EUA,Cinema+,4.8,219024,215.15,19
175,Aventura no Espaço 175,Série,Drama,2019,32,1,24,12 anos,Inglês,EUA,StreamFlix,4.8,452810,219.33,6
176,Código Sombrio 176,Filme,Terror,1993,149,1,1,10 anos,Espanhol,Inglaterra,StreamFlix,2.6,477249,94.54,0
177,Operação Final 177,Filme,Ação,2000,175,1,1,14 anos,Francês,EUA,Cinema+,4.6,330245,100.72,0
178,O Reino Perdido 178,Série,Romance,2020,47,3,46,Livre,Francês,França,Cinema+,4.3,323514,240.32,21
179,Amor em Paris 179,Filme,Comédia,2004,116,1,1,14 anos,Japonês,EUA,PlayTV,3.1,180775,181.58,12
180,Risos de Família 180,Filme,Ficção Científica,2013,149,1,1,Livre,Japonês,França,MegaStream,2.9,140887,117.25,19
181,Amor em Paris 181,Filme,Comédia,2016,173,1,1,14 anos,Japonês,Brasil,PlayTV,2.3,63170,13.87,25
182,Código Sombrio 182,Filme,Ação,2011,127,1,1,10 anos,Espanhol,França,StreamFlix,1.2,307075,229.72,11
183,O Último Horizonte 183,Série,Fantasia,2014,38,1,74,Livre,Japonês,França,StreamFlix,1.2,10468,155.55,15
184,Além do Tempo 184,Série,Suspense,2006,23,6,39,18 anos,Japonês,Brasil,MegaStream,4.1,412631,35.47,22
185,O Último Horizonte 185,Filme,Comédia,2023,84,1,1,14 anos,Francês,EUA,PlayTV,4.6,99259,209.67,2
186,O Último Horizonte 186,Série,Comédia,2023,43,3,68,Livre,Francês,Coreia do Sul,PlayTV,1.3,331754,112.33,5
187,Operação Final 187,Filme,Terror,2025,129,1,1,14 anos,Francês,Coreia do Sul,Cinema+,2.4,275792,248.21,11
188,Aventura no Espaço 188,Série,Romance,2000,27,6,109,10 anos,Inglês,Inglaterra,Vision,1.9,481308,28.06,3
189,Além do Tempo 189,Série,Terror,1999,51,2,84,12 anos,Português,Japão,StreamFlix,3.7,414856,137.69,16
190,O Reino Perdido 190,Série,Fantasia,2009,55,1,77,12 anos,Francês,Japão,StreamFlix,1.7,256078,40.31,6
191,Risos de Família 191,Série,Romance,2004,42,1,15,16 anos,Francês,França,StreamFlix,4.1,451257,28.57,21
192,Além do Tempo 192,Filme,Drama,2005,169,1,1,16 anos,Francês,Coreia do Sul,Vision,3.0,314510,227.17,4
193,O Investigador 193,Série,Romance,1992,42,5,37,Livre,Japonês,Japão,MegaStream,3.5,415965,31.9,12
194,Risos de Família 194,Filme,Ficção Científica,2004,95,1,1,10 anos,Francês,EUA,Vision,2.1,221662,239.85,12
195,Aventura no Espaço 195,Filme,Comédia,2022,169,1,1,10 anos,Português,França,PlayTV,2.7,179620,228.63,16
196,O Último Horizonte 196,Filme,Terror,1997,85,1,1,18 anos,Inglês,EUA,PlayTV,2.9,60190,133.84,12
197,Aventura no Espaço 197,Série,Ficção Científica,2006,35,4,108,14 anos,Francês,Coreia do Sul,MegaStream,2.7,171461,141.38,15
198,Amor em Paris 198,Filme,Fantasia,2016,154,1,1,16 anos,Espanhol,EUA,PlayTV,1.8,38831,9.03,1
199,Além do Tempo 199,Filme,Romance,1993,144,1,1,18 anos,Japonês,EUA,PlayTV,4.1,55208,76.26,18
200,O Reino Perdido 200,Série,Romance,2007,35,2,104,12 anos,Inglês,França,Cinema+,3.6,114035,115.35,24
201,O Investigador 201,Filme,Ficção Científica,2000,168,1,1,14 anos,Japonês,Inglaterra,MegaStream,4.1,244228,225.67,17
202,O Último Horizonte 202,Filme,Fantasia,2015,94,1,1,18 anos,Espanhol,Inglaterra,Vision,3.9,207658,74.75,5
203,O Investigador 203,Filme,Drama,2021,87,1,1,Livre,Espanhol,Coreia do Sul,StreamFlix,4.8,383142,7.04,18
204,Aventura no Espaço 204,Filme,Suspense,2006,99,1,1,10 anos,Inglês,Inglaterra,PlayTV,3.3,25133,25.82,15
205,O Investigador 205,Filme,Ação,2011,115,1,1,Livre,Japonês,Coreia do Sul,PlayTV,2.2,8812,54.91,13
206,Risos de Família 206,Filme,Comédia,2013,146,1,1,Livre,Japonês,Brasil,Vision,3.5,492729,2.52,11
207,Mistérios da Cidade 207,Série,Terror,2022,22,7,20,12 anos,Francês,Coreia do Sul,Cinema+,3.6,498501,50.85,21
208,Código Sombrio 208,Filme,Ficção Científica,2016,139,1,1,Livre,Português,França,StreamFlix,4.1,10427,58.86,3
209,Risos de Família 209,Série,Ação,2015,41,6,44,Livre,Japonês,França,Cinema+,1.8,78458,63.07,8
210,Operação Final 210,Filme,Comédia,2001,154,1,1,18 anos,Espanhol,Inglaterra,StreamFlix,4.8,492741,177.36,21
211,Risos de Família 211,Filme,Drama,2007,140,1,1,16 anos,Português,Japão,StreamFlix,4.1,59912,152.33,5
212,Aventura no Espaço 212,Série,Romance,2004,59,5,105,14 anos,Inglês,EUA,Vision,3.2,208608,172.75,9
213,O Último Horizonte 213,Série,Romance,1997,43,2,61,18 anos,Inglês,Brasil,Vision,4.1,424265,125.41,17
214,Amor em Paris 214,Série,Ação,2017,57,1,31,10 anos,Japonês,Inglaterra,MegaStream,1.5,187694,176.22,9
215,Amor em Paris 215,Série,Ficção Científica,2004,20,2,59,10 anos,Japonês,EUA,Cinema+,2.5,332739,192.18,3
216,Risos de Família 216,Filme,Suspense,1997,109,1,1,10 anos,Português,EUA,StreamFlix,2.9,477448,213.56,16
217,Risos de Família 217,Série,Terror,2022,30,7,48,18 anos,Espanhol,Coreia do Sul,Cinema+,3.5,456644,126.76,19
